Days,Alabama,Alaska,Arizona,Arkansas,Belgium,California,Colorado,Connecticut,DC,Delaware,Florida,France,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Sweden,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Albania,Austria,Belarus,Denmark,Germany,Italy,Finland,Greece,Ireland,Kosovo,Netherlands,Poland,Portugal,Romania,Russia,Serbia,Spain,Switzerland,Ukraine,United Kingdom,Canada,China,India,Japan,South Africa,Brazil,Mexico,Australia,Synthetic 1,Synthetic 2,Synthetic 3,Synthetic 4,Synthetic 5,Synthetic 6,Synthetic 7,Synthetic 8,Synthetic 9,Synthetic 10,Synthetic 11,Synthetic 12,Chile
34,288,5,149,195,1691,1100,257,754,118,136,1260,2599,1048,11,49,1465,560,118,56,177,761,36,783,1365,641,194,273,298,5,84,176,71,3585,100,8122,404,57,372,79,82,1832,278,135,103,328,337,1033,63,9,397,296,65,145,19,7,522,575,247,4751,5210,132,20,253,41,845,357,638,193,2558,250,6424,696,789,3009,1169,1750,693,10,25,926,353,269,3275,3222,3188,3232,,27,302,3151,,9,61,,344
35,163,5,292,23,925,1162,226,972,97,165,1277,4376,681,12,22,1293,534,122,63,149,581,36,726,1588,994,29,264,209,11,40,101,48,3326,62,9304,210,42,354,94,50,1965,309,240,138,407,190,818,52,11,468,997,18,128,1,17,805,0,279,4615,6153,179,77,345,30,1019,370,754,360,2774,424,5813,962,301,4324,1112,394,354,5,145,1661,385,248,3156,3190,3176,3262,,47,323,3211,,3,46,,301
36,168,2,94,101,665,1274,547,525,80,88,805,7578,974,21,46,1672,496,77,92,112,421,26,531,2151,1355,45,169,216,7,87,75,72,3021,77,8314,268,17,370,108,76,1749,339,273,120,512,161,929,129,24,567,381,21,87,8,13,564,0,371,5453,5959,118,52,515,36,1083,380,452,344,3388,411,8145,1124,644,4244,1059,891,773,44,99,2210,448,324,3092,2958,3137,2992,,29,302,3048,,3,43,,430
37,151,8,281,21,1922,1333,308,1346,103,61,1279,4861,402,6,13,1173,310,123,137,85,502,31,711,2033,1049,114,181,172,4,65,109,76,3590,113,9568,204,35,305,105,80,1646,314,142,181,519,339,1475,138,9,197,532,10,127,11,21,529,1485,320,6156,5974,164,71,1169,31,1026,401,712,441,3448,408,7413,1033,343,4450,1673,826,540,77,143,1930,450,139,3005,2890,2859,2961,,36,260,2905,,3,44,,426
38,180,6,146,75,1500,1379,383,608,139,248,1118,2116,-158,4,4,1222,298,189,88,162,433,20,536,1886,1226,103,300,234,7,60,203,55,3561,114,10765,131,30,511,29,57,1181,215,112,143,612,171,919,126,4,473,486,42,166,10,8,418,459,292,6174,5217,136,56,696,28,904,318,699,265,4070,445,7583,974,261,3735,1251,647,678,57,91,1781,578,57,2879,2724,2671,2835,,29,244,2771,,2,56,,529
39,175,2,163,82,1587,1227,410,766,153,215,951,5233,1022,2,64,1346,432,96,77,85,581,20,624,2615,834,159,238,150,0,64,102,50,3563,87,10794,340,39,623,81,49,1340,384,120,100,365,210,917,129,2,427,400,29,154,4,19,396,558,312,6082,4050,69,70,839,37,1224,260,815,523,4785,372,7272,821,415,5903,1363,218,1035,39,99,1089,622,100,2628,2574,2578,2563,,26,245,2664,,2,44,,426
40,249,2,104,4,2224,1406,388,1129,126,0,1129,4267,788,6,30,1141,589,146,133,134,586,8,755,1392,764,142,204,140,4,100,84,55,3699,47,10160,396,55,693,127,30,1296,410,114,130,387,213,568,129,5,329,298,15,170,16,24,241,741,390,5936,4053,90,33,727,6,952,268,1516,310,6060,304,6663,552,467,3802,1614,515,909,43,178,1442,764,112,2532,2378,2343,2290,,15,239,2436,,7,45,,286
41,283,0,156,190,2319,1159,250,925,190,207,1141,1873,670,4,36,1841,616,191,84,93,462,13,790,1296,631,143,178,134,2,122,120,44,2734,126,8435,281,64,1115,87,73,1213,341,103,94,376,346,711,142,2,389,415,29,154,5,21,217,751,331,3677,4782,97,31,992,26,777,380,515,333,4268,324,5533,590,578,3634,1157,410,796,39,251,1261,511,96,2294,2145,2131,2243,,30,192,2269,,1,41,,312
42,222,2,272,291,1023,1179,339,741,127,186,1018,3912,1061,5,34,1585,495,181,177,185,348,19,738,1755,580,114,259,196,3,132,107,97,4240,101,6548,353,75,1380,123,49,1510,415,275,50,487,201,816,88,2,601,511,24,147,6,9,314,817,233,3834,4668,76,25,832,39,969,336,598,246,5642,312,3667,546,477,5491,1230,439,1211,65,124,1832,729,100,2136,1935,2035,2040,,19,177,2015,,5,42,,392
43,194,4,273,130,517,1503,395,412,134,269,877,3777,1014,2,34,1197,571,402,335,253,595,30,513,2263,1007,97,281,184,2,125,144,82,2206,138,7402,271,49,1317,103,59,1807,443,155,70,726,200,803,150,16,561,279,18,153,20,14,343,873,184,4003,4585,132,22,1068,34,1213,461,349,337,5236,260,5209,785,478,4344,1391,329,1075,75,142,3058,1043,86,1906,1794,1854,1846,,18,180,1824,,6,52,,356
44,187,6,212,207,532,1148,372,1853,171,108,1156,3881,356,2,17,1151,483,260,216,90,331,28,858,2221,1037,154,284,304,1,173,127,50,4287,169,11755,187,42,806,73,66,1621,430,160,103,722,170,822,170,8,483,339,14,121,4,22,329,826,177,4974,4805,120,15,724,28,1335,363,514,491,4774,224,5583,733,492,5195,1474,428,942,96,165,2105,1089,51,1784,1691,1660,1696,,17,154,1652,,4,38,,534
45,208,4,210,211,1562,1175,386,545,108,134,609,4286,605,1,10,1551,430,466,249,143,463,25,511,1970,1280,221,193,201,3,80,190,73,3150,145,8631,269,34,392,60,46,1250,310,131,98,544,323,1203,161,4,453,187,16,225,25,25,279,919,178,5323,4316,192,0,709,33,1316,545,643,360,5849,162,5745,592,392,8719,1385,574,1007,135,170,3257,1239,33,1593,1470,1523,1474,,17,160,1526,,4,40,,445
